Model,Period,Window,R2_H1,R2_H10,R2_Decay%
Bi-GRU,2015_China_Crash,30,0.808,0.2899,64.12
Bi-GRU,2015_China_Crash,60,0.8784,0.2492,71.63
Bi-GRU,2015_China_Crash,90,0.8696,0.1995,77.06
Bi-GRU,2015_China_Crash,120,0.867,0.183,78.89
Bi-GRU,2015_China_Crash,252,0.8838,0.2294,74.04
Bi-GRU,2018_Trade_War,30,0.7979,-0.1261,115.8
Bi-GRU,2018_Trade_War,60,0.8226,-0.1784,121.68
Bi-GRU,2018_Trade_War,90,0.7856,-0.1379,117.55
Bi-GRU,2018_Trade_War,120,0.8081,0.0457,94.34
Bi-GRU,2018_Trade_War,252,0.83,-0.2586,131.15
Bi-GRU,2020_COVID_Crash,30,0.6734,-0.2803,141.63
Bi-GRU,2020_COVID_Crash,60,0.7627,-0.4125,154.08
Bi-GRU,2020_COVID_Crash,90,0.7629,-0.28,136.71
Bi-GRU,2020_COVID_Crash,120,0.6528,-0.4366,166.88
Bi-GRU,2020_COVID_Crash,252,0.7143,-0.4967,169.54
Bi-GRU,2022_Rate_Hike,30,0.8953,0.3078,65.62
Bi-GRU,2022_Rate_Hike,60,0.8714,0.172,80.26
Bi-GRU,2022_Rate_Hike,90,0.8137,0.2616,67.84
Bi-GRU,2022_Rate_Hike,120,0.8266,0.1209,85.37
Bi-GRU,2022_Rate_Hike,252,0.8881,-0.1094,112.32
Bi-GRU,2023_AI_Wave,30,0.9522,0.6491,31.83
Bi-GRU,2023_AI_Wave,60,0.9477,0.7091,25.18
Bi-GRU,2023_AI_Wave,90,0.9539,0.6517,31.69
Bi-GRU,2023_AI_Wave,120,0.9437,0.7111,24.64
Bi-GRU,2023_AI_Wave,252,0.9501,0.6103,35.76
Bi-LSTM,2008_Financial_Crisis,30,0.9672,0.9025,6.68
Bi-LSTM,2008_Financial_Crisis,60,0.9751,0.8544,12.38
Bi-LSTM,2008_Financial_Crisis,90,0.98,0.9088,7.27
Bi-LSTM,2008_Financial_Crisis,120,0.9644,0.8988,6.8
Bi-LSTM,2008_Financial_Crisis,252,0.9785,0.9385,4.08
Bi-LSTM,2010_Euro_Debt_Crisis,30,0.9545,0.7475,21.69
Bi-LSTM,2010_Euro_Debt_Crisis,60,0.9742,0.8056,17.3
Bi-LSTM,2010_Euro_Debt_Crisis,90,0.9654,0.7919,17.98
Bi-LSTM,2010_Euro_Debt_Crisis,120,0.9603,0.7983,16.87
Bi-LSTM,2010_Euro_Debt_Crisis,252,0.9622,0.807,16.14
Bi-LSTM,2015_China_Crash,30,0.8455,0.0711,91.59
Bi-LSTM,2015_China_Crash,60,0.7732,0.2147,72.24
Bi-LSTM,2015_China_Crash,90,0.8424,0.2664,68.38
Bi-LSTM,2015_China_Crash,120,0.8226,0.2642,67.88
Bi-LSTM,2015_China_Crash,252,0.8363,0.1994,76.16
Bi-LSTM,2018_Trade_War,30,0.573,0.006,98.95
Bi-LSTM,2018_Trade_War,60,0.7382,-0.281,138.06
Bi-LSTM,2018_Trade_War,90,0.7924,-5.8144,833.73
Bi-LSTM,2018_Trade_War,120,0.791,-0.1317,116.64
Bi-LSTM,2018_Trade_War,252,0.7192,-0.4581,163.7
Bi-LSTM,2020_COVID_Crash,30,0.7059,-0.3303,146.79
Bi-LSTM,2020_COVID_Crash,60,0.6282,-0.3551,156.53
Bi-LSTM,2020_COVID_Crash,90,0.7404,-0.3031,140.94
Bi-LSTM,2020_COVID_Crash,120,0.7444,-0.3872,152.02
Bi-LSTM,2020_COVID_Crash,252,0.4675,-0.3425,173.25
Bi-LSTM,2022_Rate_Hike,30,0.8128,-0.1144,114.08
Bi-LSTM,2022_Rate_Hike,60,0.7556,0.3228,57.28
Bi-LSTM,2022_Rate_Hike,90,0.8496,0.5968,29.75
Bi-LSTM,2022_Rate_Hike,120,0.6691,-0.391,158.43
Bi-LSTM,2022_Rate_Hike,252,0.7264,0.5265,27.51
Bi-LSTM,2023_AI_Wave,30,0.891,-0.0919,110.31
Bi-LSTM,2023_AI_Wave,60,0.6506,-0.7381,213.45
Bi-LSTM,2023_AI_Wave,90,0.9104,-0.7657,184.1
Bi-LSTM,2023_AI_Wave,120,0.9537,0.1689,82.29
Bi-LSTM,2023_AI_Wave,252,0.9039,0.0859,90.49
Bi-RNN,2008_Financial_Crisis,30,0.9865,0.8656,12.26
Bi-RNN,2008_Financial_Crisis,60,0.983,0.9145,6.97
Bi-RNN,2008_Financial_Crisis,90,0.9785,0.8786,10.21
