Market,Window,Horizon,Model,Period,MAE,R2,RMSE,N_samples
SP500,60,5,Bi-RNN,2023_AI_Wave,0.01329830102622509,0.841360867023468,0.016527843186719765,246
SP500,60,5,Bi-GRU,2023_AI_Wave,0.014747383072972298,0.8160171508789062,0.01779916978200685,246
SP500,60,5,Bi-LSTM,2023_AI_Wave,0.03108552098274231,0.20582830905914307,0.03698011366181197,246
SP500,60,5,PatchTST,2023_AI_Wave,0.019701873883605003,0.6784479022026062,0.02353080045391296,246
SP500,60,5,Mamba,2023_AI_Wave,0.013168815523386002,0.8501375913619995,0.01606413632953029,246
SP500,60,5,SNN,2023_AI_Wave,0.06668711453676224,-2.2881107330322266,0.07524614040581441,246
SP500,60,5,Ensemble,2023_AI_Wave,0.022568458691239357,0.5700103640556335,0.027210719848841707,246
SP500,60,10,ARIMA,2023_AI_Wave,0.018596936854826572,0.7363311581945305,0.021796016771124083,250
SP500,60,10,Bi-RNN,2023_AI_Wave,0.020943287760019302,0.6191449761390686,0.02524879853460667,241
SP500,60,10,Bi-GRU,2023_AI_Wave,0.018971743062138557,0.7090670466423035,0.02206771276678648,241
SP500,60,10,Bi-LSTM,2023_AI_Wave,0.04865116998553276,-0.7381352186203003,0.05393897113915523,241
SP500,60,10,PatchTST,2023_AI_Wave,0.021225925534963608,0.6053982377052307,0.025700429422479333,241
SP500,60,10,Mamba,2023_AI_Wave,0.02236948348581791,0.5819694399833679,0.026452388242954927,241
SP500,60,10,SNN,2023_AI_Wave,0.05718730017542839,-1.7138214111328125,0.06739869483415765,241
SP500,60,10,Ensemble,2023_AI_Wave,0.028406653553247452,0.31802111864089966,0.03378674417877546,241
SP500,90,1,ARIMA,2023_AI_Wave,0.005116895443656374,0.9765580375201046,0.0064989726738412445,250
SP500,90,1,Bi-RNN,2023_AI_Wave,0.018760543316602707,0.7342052459716797,0.021883711001124045,250
SP500,90,1,Bi-GRU,2023_AI_Wave,0.007379012182354927,0.9539392590522766,0.009109894026600996,250
SP500,90,1,Bi-LSTM,2023_AI_Wave,0.010340952314436436,0.9104416966438293,0.012702837075840594,250
SP500,90,1,PatchTST,2023_AI_Wave,0.021543852984905243,0.6536480784416199,0.024980811768414393,250
SP500,90,1,Mamba,2023_AI_Wave,0.006180016323924065,0.9688131213188171,0.00749607231534395,250
SP500,90,1,SNN,2023_AI_Wave,0.09951522946357727,-5.369732856750488,0.1071293184938384,250
SP500,90,1,Ensemble,2023_AI_Wave,0.02472720295190811,0.559711217880249,0.028165441071266242,250
SP500,90,5,ARIMA,2023_AI_Wave,0.012097917979720794,0.8736427501284814,0.015088560555238014,250
SP500,90,5,Bi-RNN,2023_AI_Wave,0.014970647171139717,0.8000894784927368,0.018553628703074223,246
SP500,90,5,Bi-GRU,2023_AI_Wave,0.01356069277971983,0.8370553851127625,0.016750625420195106,246
SP500,90,5,Bi-LSTM,2023_AI_Wave,0.029945524409413338,0.33003145456314087,0.033965517778272995,246
SP500,90,5,PatchTST,2023_AI_Wave,0.042516496032476425,-0.4246947765350342,0.049530412410399044,246
SP500,90,5,Mamba,2023_AI_Wave,0.013964657671749592,0.8259173631668091,0.017313655665741442,246
SP500,90,5,SNN,2023_AI_Wave,0.049050576984882355,-0.9147032499313354,0.05741981264225506,246
SP500,90,5,Ensemble,2023_AI_Wave,0.025810642167925835,0.47300469875335693,0.030124122070827226,246
SP500,90,10,ARIMA,2023_AI_Wave,0.01860240312918584,0.7369793396671764,0.021769209531641923,250
SP500,90,10,Bi-RNN,2023_AI_Wave,0.018983203917741776,0.692988932132721,0.022669288412531362,241
SP500,90,10,Bi-GRU,2023_AI_Wave,0.020625663921236992,0.6516671180725098,0.02414671670184351,241
SP500,90,10,Bi-LSTM,2023_AI_Wave,0.04917216673493385,-0.7656553983688354,0.0543643052446755,241
SP500,90,10,PatchTST,2023_AI_Wave,0.02497136779129505,0.4800623655319214,0.029500984425695067,241
SP500,90,10,Mamba,2023_AI_Wave,0.01986984722316265,0.6689088344573975,0.02354153006657844,241
SP500,90,10,SNN,2023_AI_Wave,0.0480918250977993,-0.8879735469818115,0.05621585571266742,241
SP500,90,10,Ensemble,2023_AI_Wave,0.027533870190382004,0.37151724100112915,0.0324345258080126,241
SP500,120,1,ARIMA,2023_AI_Wave,0.0051700852441267904,0.9764181722477857,0.006518331734901351,250
